ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2021-01-22,1486.3075,1482.6459,1487.6145,1456.0156,1482.2847,4.0228,0.2714,5801637.0,40773614.492
000688.SH,2021-01-21,1482.2847,1485.6495,1492.9472,1465.8868,1481.4526,0.8321,0.0562,5260490.0,33695348.549
000688.SH,2021-01-20,1481.4526,1450.7178,1482.1113,1444.7375,1443.9205,37.5321,2.5993,4920432.0,31745829.673
000688.SH,2021-01-19,1443.9205,1485.463,1489.2174,1441.6158,1481.2494,-37.3289,-2.5201,5731520.0,36172567.641
000688.SH,2021-01-18,1481.2494,1443.8197,1496.3662,1437.0207,1447.5828,33.6666,2.3257,6290347.0,40072199.879
000688.SH,2021-01-15,1447.5828,1450.8567,1465.6919,1431.4545,1447.2668,0.316,0.0218,6054884.0,36295712.714
000688.SH,2021-01-14,1447.2668,1406.0497,1478.7529,1399.5588,1407.4146,39.8522,2.8316,7542993.0,40687823.84
000688.SH,2021-01-13,1407.4146,1412.0725,1416.6616,1389.7677,1405.2226,2.192,0.156,5709620.0,33967491.777
000688.SH,2021-01-12,1405.2226,1389.4666,1408.4155,1379.8032,1390.6553,14.5673,1.0475,4511353.0,29205335.511
000688.SH,2021-01-11,1390.6553,1385.3531,1407.9141,1378.1175,1378.7397,11.9156,0.8642,5762420.0,37307166.814
000688.SH,2021-01-08,1378.7397,1382.1486,1385.1151,1366.1829,1381.9421,-3.2024,-0.2317,5424099.0,35318626.639
000688.SH,2021-01-07,1381.9421,1414.8967,1417.4289,1370.1896,1415.0221,-33.08,-2.3378,6633573.0,41545663.417
000688.SH,2021-01-06,1415.0221,1430.0675,1434.1945,1408.0555,1425.16,-10.1379,-0.7114,6071455.0,36142763.293
000688.SH,2021-01-05,1425.16,1413.1818,1427.1207,1409.5412,1422.1246,3.0354,0.2134,6097512.0,38510325.529
000688.SH,2021-01-04,1422.1246,1398.9557,1425.697,1389.5854,1393.0272,29.0974,2.0888,5855451.0,39021079.336
000688.SH,2020-12-31,1393.0272,1370.4413,1394.7391,1368.47,1362.9107,30.1165,2.2097,5460861.0,36316902.72
000688.SH,2020-12-30,1362.9107,1336.7202,1367.7624,1335.2072,1337.4696,25.4411,1.9022,5200486.0,32904164.973
000688.SH,2020-12-29,1337.4696,1338.2399,1353.0612,1336.0901,1339.0068,-1.5372,-0.1148,4819255.0,25857884.011
000688.SH,2020-12-28,1339.0068,1345.2989,1349.3496,1335.2532,1349.7931,-10.7863,-0.7991,5208984.0,28804865.985
000688.SH,2020-12-25,1349.7931,1348.4717,1357.6506,1340.7892,1348.0134,1.7797,0.132,4981681.0,26650843.7
000688.SH,2020-12-24,1348.0134,1378.3835,1384.3115,1347.7976,1376.5953,-28.5819,-2.0763,5764382.0,30082831.674
000688.SH,2020-12-23,1376.5953,1359.7276,1378.6058,1355.2452,1358.6185,17.9768,1.3232,5196093.0,29462096.0
000688.SH,2020-12-22,1358.6185,1383.2888,1390.9858,1355.9715,1388.6685,-30.05,-2.1639,5162246.0,30438971.878
000688.SH,2020-12-21,1388.6685,1359.6852,1390.5929,1355.9254,1361.108,27.5605,2.0249,5212184.0,30648978.789
000688.SH,2020-12-18,1361.108,1381.4819,1381.4819,1357.7711,1363.3594,-2.2514,-0.1651,4663221.0,26611979.498
000688.SH,2020-12-17,1363.3594,1343.2814,1364.8803,1339.8978,1345.1327,18.2267,1.355,4798301.0,28146396.485
000688.SH,2020-12-16,1345.1327,1357.2222,1357.2222,1339.9581,1363.1833,-18.0506,-1.3242,5560614.0,33603798.952
000688.SH,2020-12-15,1363.1833,1373.9593,1379.7689,1357.3638,1375.0635,-11.8802,-0.864,4713483.0,27105427.946
000688.SH,2020-12-14,1375.0635,1361.6068,1380.0487,1353.8981,1362.9608,12.1027,0.888,4584335.0,26012355.185
000688.SH,2020-12-11,1362.9608,1362.3437,1365.4317,1345.316,1360.1842,2.7766,0.2041,6665413.0,36417145.365
000688.SH,2020-12-10,1360.1842,1363.0033,1370.8285,1355.8829,1365.0375,-4.8533,-0.3555,5043398.0,29641890.244
000688.SH,2020-12-09,1365.0375,1400.5665,1404.2317,1364.1951,1398.7298,-33.6923,-2.4088,4783357.0,25875931.953
000688.SH,2020-12-08,1398.7298,1405.7192,1408.7868,1397.551,1406.1941,-7.4643,-0.5308,4279576.0,24149351.342
000688.SH,2020-12-07,1406.1941,1410.4976,1417.7766,1403.4201,1404.8659,1.3282,0.0945,4758978.0,27388968.317
000688.SH,2020-12-04,1404.8659,1409.5915,1410.9282,1401.5304,1410.8293,-5.9634,-0.4227,4178597.0,23365429.253
000688.SH,2020-12-03,1410.8293,1410.4351,1418.1231,1398.0995,1408.4882,2.3411,0.1662,4585012.0,24754049.993
000688.SH,2020-12-02,1408.4882,1408.6704,1419.1076,1403.7274,1404.2375,4.2507,0.3027,5738486.0,30701966.235
000688.SH,2020-12-01,1404.2375,1386.5778,1408.0376,1381.9561,1385.4828,18.7547,1.3537,3731742.0,22256174.12
000688.SH,2020-11-30,1385.4828,1392.9541,1397.0145,1380.2173,1387.7688,-2.286,-0.1647,4183574.0,25008644.813
000688.SH,2020-11-27,1387.7688,1386.6546,1398.1427,1380.6407,1385.3103,2.4585,0.1775,3723177.0,20984495.376
000688.SH,2020-11-26,1385.3103,1386.2137,1398.5671,1380.1303,1388.3639,-3.0536,-0.2199,3800503.0,21603493.4
000688.SH,2020-11-25,1388.3639,1414.1887,1414.5144,1387.5569,1412.7466,-24.3827,-1.7259,4652580.0,26488928.819
000688.SH,2020-11-24,1412.7466,1412.0244,1420.3439,1409.3969,1418.1014,-5.3548,-0.3776,4864347.0,27536383.615
000688.SH,2020-11-23,1418.1014,1429.3892,1429.3892,1412.0226,1430.7197,-12.6183,-0.882,4743939.0,25854985.87
000688.SH,2020-11-20,1430.7197,1433.9469,1442.3083,1427.3091,1435.9245,-5.2048,-0.3625,4702930.0,23421296.686
