ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159770.OF,天弘中证机器人ETF,天弘中证机器人ETF,天弘中证机器人交易型开放式指数证券投资基金,H30590.CSI,中证机器人指数,20211026,2021-11-08,L,SZ,天弘基金,国泰海通证券股份有限公司,,纯境内
159770.SZ,天弘中证机器人ETF,机器人ETF,天弘中证机器人交易型开放式指数证券投资基金,H30590.CSI,中证机器人指数,20211026,2021-11-08,L,SZ,天弘基金,国泰海通证券股份有限公司,0.5,纯境内
159773.OF,创业板科技ETF华泰柏瑞,创业板科技ETF华泰柏瑞,华泰柏瑞创业板科技交易型开放式指数证券投资基金,399276.SZ,创业板科技指数,20210923,2021-10-08,L,SZ,华泰柏瑞基金,招商银行股份有限公司,,纯境内
159773.SZ,华泰柏瑞创业板科技ETF,创业板科技ETF华泰柏瑞,华泰柏瑞创业板科技交易型开放式指数证券投资基金,399276.SZ,创业板科技指数,20210923,2021-10-08,L,SZ,华泰柏瑞基金,招商银行股份有限公司,0.5,纯境内
159775.OF,建信国证新能源车电池ETF,建信国证新能源车电池ETF,建信国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20220107,2022-01-24,L,SZ,建信基金,中信证券股份有限公司,,纯境内
159775.SZ,建信国证新能源车电池ETF,电池ETF建信,建信国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20220107,2022-01-24,L,SZ,建信基金,中信证券股份有限公司,0.5,纯境内
159776.OF,港股通医药ETF,港股通医药ETF,银华中证港股通医药卫生综合交易型开放式指数证券投资基金,930965.CSI,中证港股通医药卫生综合指数,20220307,2022-03-25,L,SZ,银华基金,招商银行股份有限公司,,纯境内
159776.SZ,港股通医药ETF,港股医药ETF银华,银华中证港股通医药卫生综合交易型开放式指数证券投资基金,930965.CSI,中证港股通医药卫生综合指数,20220307,2022-03-25,L,SZ,银华基金,招商银行股份有限公司,0.5,纯境内
159777.OF,国联安创科技ETF,国联安创科技ETF,国联安创业板科技交易型开放式指数证券投资基金,399276.SZ,创业板科技指数,20210927,2021-10-18,L,SZ,国联安基金,中国银河证券股份有限公司,,纯境内
159777.SZ,国联安创科技ETF,创科技ETF国联安,国联安创业板科技交易型开放式指数证券投资基金,399276.SZ,创业板科技指数,20210927,2021-10-18,L,SZ,国联安基金,中国银河证券股份有限公司,0.5,纯境内
159778.OF,工业互联ETF,工业互联ETF,鹏华中证工业互联网主题交易型开放式指数证券投资基金,931495.CSI,中证工业互联网主题指数,20220125,2022-02-17,L,SZ,鹏华基金,中信证券股份有限公司,,纯境内
159778.SZ,工业互联ETF,工业互联网ETF鹏华,鹏华中证工业互联网主题交易型开放式指数证券投资基金,931495.CSI,中证工业互联网主题指数,20220125,2022-02-17,L,SZ,鹏华基金,中信证券股份有限公司,0.5,纯境内
159779.OF,招商中证消费电子主题ETF,招商中证消费电子主题ETF,招商中证消费电子主题交易型开放式指数证券投资基金,931494.CSI,中证消费电子主题指数,20211118,2021-11-26,L,SZ,招商基金,中信建投证券股份有限公司,,纯境内
159779.SZ,招商中证消费电子主题ETF,消费电子ETF招商,招商中证消费电子主题交易型开放式指数证券投资基金,931494.CSI,中证消费电子主题指数,20211118,2021-11-26,L,SZ,招商基金,中信建投证券股份有限公司,0.5,纯境内
159780.OF,南方中证科创创业50ETF,南方中证科创创业50ETF,南方中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210624,2021-07-05,L,SZ,南方基金,招商银行股份有限公司,,纯境内
159780.SZ,南方中证科创创业50ETF,科创创业50ETF南方,南方中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210624,2021-07-05,L,SZ,南方基金,招商银行股份有限公司,0.5,纯境内
159781.OF,易方达中证科创创业50ETF,易方达中证科创创业50ETF,易方达中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210628,2021-07-05,L,SZ,易方达基金,中国工商银行股份有限公司,,纯境内
